rijec;konkretnost_m;konkretnost_std;predocivost_m;predocivost_std;dob_usvajanja_m;dob_usvajanja_std;subj_frekvencija_m;subj_frekvencija_std
lopata;4.98;0.12;4.87;0.38;2.92;1.51;3.81;0.85
truba;4.89;0.31;4.80;0.44;2.65;1.34;3.54;0.87
mozak;4.11;0.89;4.51;0.78;2.70;1.34;3.33;0.72
zijevanje;4.20;0.92;4.27;0.93;3.94;1.84;2.98;0.92
dalekozor;4.83;0.42;4.70;0.75;2.92;1.58;3.52;0.94
brus;4.02;1.07;3.29;1.35;2.61;1.11;3.66;0.68
mećava;3.98;0.98;4.26;0.91;4.09;1.64;3.08;0.94
rog;4.55;0.71;4.33;1.03;3.33;1.51;4.16;0.75
splav;4.40;0.79;4.29;1.02;3.48;1.56;4.04;0.80
trošnost;2.26;1.06;2.50;1.21;2.85;1.51;4.62;0.68
kopito;4.52;0.75;4.40;0.89;2.34;1.43;4.11;0.87
ribar;4.60;0.58;4.67;0.63;5.05;2.09;1.98;0.84
letargičnost;1.71;0.90;1.95;1.03;6.70;2.25;1.67;0.69
portal;3.00;1.20;3.01;1.27;3.52;1.89;2.38;0.85
kulinarstvo;2.98;1.04;3.11;1.30;6.70;2.22;1.86;0.70
litica;4.31;0.73;4.44;0.86;4.38;1.71;2.62;0.85
koza;4.83;0.42;4.84;0.47;7.41;2.43;2.07;0.85
košnica;4.77;0.52;4.74;0.61;3.20;1.49;3.60;0.84
seciranje;3.32;1.11;3.54;1.06;3.38;1.59;3.22;0.85
sraz;2.05;1.01;1.91;1.06;2.74;1.23;4.34;0.67
kljove;4.51;0.81;4.37;0.94;4.31;2.04;4.22;0.84
vrata;4.92;0.44;4.94;0.29;5.78;2.23;2.28;0.72
delfin;4.89;0.40;4.89;0.36;6.44;2.15;2.62;1.05
risanje;3.52;1.15;3.43;1.37;5.99;2.27;2.65;0.93
arkada;3.88;1.08;3.42;1.40;4.29;2.02;4.13;0.91
oblačenje;3.89;1.02;3.93;1.05;4.46;2.01;3.90;1.08
dekapitacija;2.96;1.39;2.90;1.52;6.83;2.05;3.22;0.95
cjelivanje;3.16;1.31;2.92;1.53;5.89;2.37;2.80;1.24
kut;3.97;1.10;4.24;0.95;7.31;2.20;1.73;0.72
žito;4.71;0.61;4.77;0.46;4.99;1.78;3.52;0.83
užasnutost;2.63;1.11;2.91;1.15;2.64;1.99;4.88;0.33
navijanje;3.63;1.02;3.91;1.06;5.02;1.84;1.96;0.74
dijeljenje;3.17;0.96;3.13;1.35;6.30;2.08;1.91;0.85
oklop;4.66;0.71;4.49;0.74;3.24;1.55;4.16;0.86
stolar;4.48;0.75;4.39;0.98;5.01;2.15;3.42;0.85
grabežljivac;3.78;1.15;3.83;1.09;3.64;1.74;4.02;0.99
gorivo;3.88;1.05;3.74;1.28;4.34;1.83;3.91;0.92
konkavnost;2.60;1.29;2.31;1.29;3.94;1.91;3.64;1.19
paun;4.66;0.67;4.69;0.58;3.35;1.39;2.62;0.85
razvrstavanje;2.91;1.13;3.03;1.15;5.51;1.91;2.38;0.96
lijevak;4.23;1.09;4.04;1.17;5.65;2.25;3.46;0.97
poluotok;4.17;0.98;4.39;0.89;5.35;2.04;3.15;0.96
mačka;4.97;0.25;4.97;0.17;7.54;2.15;2.36;0.92
trokut;4.75;0.66;4.87;0.41;7.14;2.15;2.12;0.85
zupčanik;4.08;1.04;4.16;1.14;3.36;1.70;3.83;0.89
pravorijek;2.05;1.10;1.46;0.71;5.61;2.13;3.61;1.20
novac;4.51;0.81;4.49;0.91;6.02;1.13;2.69;0.96
režanje;3.69;1.09;3.87;1.10;9.63;2.84;2.80;1.09
